"Date","Price","Open","High","Low","Change %"
"Nov 14, 2019","4.1951","4.1700","4.1989","4.1616","0.59%"
"Nov 13, 2019","4.1704","4.1695","4.1901","4.1626","0.06%"
"Nov 12, 2019","4.1677","4.1531","4.1878","4.1421","0.38%"
"Nov 11, 2019","4.1518","4.1666","4.1712","4.1352","-0.28%"
"Nov 08, 2019","4.1635","4.1143","4.1707","4.1079","1.53%"
"Nov 07, 2019","4.1007","4.0833","4.1035","4.0413","0.42%"
"Nov 06, 2019","4.0836","3.9937","4.0903","3.9747","2.25%"
"Nov 05, 2019","3.9937","4.0125","4.0239","3.9827","-0.55%"
"Nov 04, 2019","4.0156","3.9886","4.0198","3.9743","0.63%"
"Nov 01, 2019","3.9903","4.0179","4.0207","3.9691","-0.70%"
"Oct 31, 2019","4.0184","3.9932","4.0383","3.9638","0.69%"
"Oct 30, 2019","3.9909","4.0000","4.0332","3.9823","-0.19%"
"Oct 29, 2019","3.9986","3.9915","4.0052","3.9834","0.19%"
"Oct 28, 2019","3.9910","4.0027","4.0098","3.9726","-0.32%"
"Oct 25, 2019","4.0038","4.0427","4.0427","3.9913","-0.93%"
"Oct 24, 2019","4.0415","4.0380","4.0465","3.9994","0.17%"
"Oct 23, 2019","4.0346","4.0812","4.0930","4.0274","-1.16%"
"Oct 22, 2019","4.0819","4.1291","4.1312","4.0598","-1.15%"
"Oct 21, 2019","4.1293","4.1114","4.1524","4.1114","0.43%"
"Oct 18, 2019","4.1117","4.1646","4.1666","4.1098","-1.26%"
"Oct 17, 2019","4.1643","4.1520","4.1818","4.1269","0.30%"
"Oct 16, 2019","4.1518","4.1802","4.1879","4.1475","-0.69%"
"Oct 15, 2019","4.1807","4.1261","4.1814","4.1209","1.31%"
"Oct 14, 2019","4.1265","4.1073","4.1383","4.1073","0.41%"
"Oct 11, 2019","4.1097","4.1071","4.1261","4.0803","0.00%"
"Oct 10, 2019","4.1095","4.1101","4.1377","4.0891","-0.02%"
"Oct 09, 2019","4.1104","4.0965","4.1120","4.0705","0.37%"
"Oct 08, 2019","4.0954","4.1074","4.1137","4.0739","-0.28%"
"Oct 07, 2019","4.1071","4.0563","4.1095","4.0560","1.27%"
"Oct 04, 2019","4.0556","4.0845","4.0856","4.0496","-0.70%"
"Oct 03, 2019","4.0841","4.1296","4.1306","4.0743","-1.09%"
"Oct 02, 2019","4.1293","4.1580","4.1821","4.1270","-0.71%"
"Oct 01, 2019","4.1590","4.1575","4.1863","4.1524","0.08%"
"Sep 30, 2019","4.1556","4.1618","4.1720","4.1411","-0.11%"
"Sep 27, 2019","4.1602","4.1706","4.1712","4.1437","-0.26%"
"Sep 26, 2019","4.1711","4.1475","4.1733","4.1208","0.53%"
"Sep 25, 2019","4.1490","4.1649","4.1955","4.1448","-0.38%"
"Sep 24, 2019","4.1650","4.1643","4.1842","4.1531","0.03%"
"Sep 23, 2019","4.1638","4.1495","4.1849","4.1447","0.38%"
"Sep 20, 2019","4.1480","4.1678","4.1841","4.1460","-0.48%"
"Sep 19, 2019","4.1678","4.1109","4.1688","4.1076","1.38%"
"Sep 18, 2019","4.1112","4.0779","4.1147","4.0726","0.82%"
"Sep 17, 2019","4.0777","4.0944","4.1170","4.0708","-0.08%"
"Sep 16, 2019","4.0810","4.0854","4.1070","4.0745","-0.10%"
"Sep 13, 2019","4.0849","4.0615","4.0959","4.0429","0.59%"
"Sep 12, 2019","4.0608","4.0682","4.0712","4.0266","-0.18%"
"Sep 11, 2019","4.0680","4.0814","4.0928","4.0507","-0.31%"
"Sep 10, 2019","4.0808","4.0963","4.1302","4.0793","-0.35%"
"Sep 09, 2019","4.0953","4.0639","4.1050","4.0480","0.82%"
"Sep 06, 2019","4.0618","4.1094","4.1094","4.0531","-1.16%"
"Sep 05, 2019","4.1094","4.0960","4.1159","4.0704","0.35%"
"Sep 04, 2019","4.0950","4.1674","4.1677","4.0888","-1.75%"
"Sep 03, 2019","4.1681","4.1860","4.1860","4.1497","-0.45%"
"Sep 02, 2019","4.1871","4.1444","4.1901","4.1414","1.01%"
"Aug 30, 2019","4.1453","4.1699","4.1715","4.1197","-0.56%"
"Aug 29, 2019","4.1688","4.1692","4.1776","4.1414","0.01%"
