Date,Price,Open,High,Low,Change %
"Jan 21, 2020",4.2126,4.1885,4.2174,4.1826,0.0053
"Jan 20, 2020",4.1902,4.1654,4.1917,4.1624,0.0068
"Jan 17, 2020",4.162,4.1851,4.1935,4.1584,-0.0055
"Jan 16, 2020",4.1851,4.1754,4.2007,4.1585,0.0023
"Jan 15, 2020",4.1756,4.1313,4.1859,4.1303,0.0103
"Jan 14, 2020",4.133,4.1476,4.1616,4.1205,-0.0033
"Jan 13, 2020",4.1468,4.0895,4.1468,4.0877,0.0123
"Jan 10, 2020",4.0963,4.0938,4.1045,4.0613,0.0009
"Jan 09, 2020",4.0927,4.0647,4.0934,4.0569,0.0068
"Jan 08, 2020",4.0649,4.0677,4.0784,4.0396,-0.0007
"Jan 07, 2020",4.0679,4.0622,4.0924,4.0543,0.0015
"Jan 06, 2020",4.0618,4.0565,4.0743,4.0458,-0.0013
"Jan 03, 2020",4.0672,4.0253,4.0718,4.0253,0.0102
"Jan 02, 2020",4.0263,4.0198,4.0412,4.0031,0.0017
"Jan 01, 2020",4.0195,4.0195,4.0195,4.0195,0
"Dec 31, 2019",4.0195,4.0201,4.0201,4.0195,0
"Dec 30, 2019",4.0195,4.0484,4.0484,4.0084,-0.0065
"Dec 27, 2019",4.046,4.0568,4.0614,4.0339,-0.0025
"Dec 26, 2019",4.056,4.0827,4.0827,4.0453,-0.0068
"Dec 25, 2019",4.0838,4.0838,4.0838,4.0838,0
"Dec 24, 2019",4.0838,4.0838,4.0838,4.0838,0.0001
"Dec 23, 2019",4.0835,4.1015,4.1015,4.0571,-0.0046
"Dec 20, 2019",4.1025,4.0706,4.1025,4.0576,0.0081
"Dec 19, 2019",4.0697,4.0633,4.0703,4.0503,0.0016
"Dec 18, 2019",4.0634,4.0687,4.0764,4.0463,-0.0021
"Dec 17, 2019",4.0719,4.063,4.078,4.0503,0.0021
"Dec 16, 2019",4.0632,4.1095,4.1095,4.0544,-0.011
"Dec 13, 2019",4.1082,4.0912,4.1178,4.0751,0.0043
"Dec 12, 2019",4.0908,4.1241,4.1311,4.0813,-0.0081
"Dec 11, 2019",4.1242,4.1466,4.147,4.1067,-0.0055
"Dec 10, 2019",4.147,4.1429,4.1513,4.1323,0.0011
"Dec 09, 2019",4.1425,4.1417,4.1608,4.123,0.0003
"Dec 06, 2019",4.1414,4.1859,4.1947,4.133,-0.0107
"Dec 05, 2019",4.186,4.208,4.2236,4.1764,-0.0052
