"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 20, 2014","179.15","172.00","181.20","166.60","48.83K","4.95%"
"Jul 13, 2014","170.70","163.80","164.95","163.80","0.01K","7.39%"
"Jul 06, 2014","158.95","170.30","170.30","157.80","0.14K","-6.17%"
"Jun 29, 2014","169.40","172.55","172.75","168.20","0.11K","-0.62%"
"Jun 22, 2014","170.45","173.00","182.50","169.90","0.27K","-1.62%"
"Jun 15, 2014","173.25","173.65","176.70","163.10","41.09K","-0.26%"
"Jun 08, 2014","173.70","171.95","179.70","165.10","103.27K","0.93%"
"Jun 01, 2014","172.10","177.25","179.35","167.35","68.50K","-3.04%"
"May 25, 2014","177.50","181.50","182.95","170.80","54.29K","-2.42%"
"May 18, 2014","181.90","183.90","186.40","176.70","43.35K","-0.33%"
"May 11, 2014","182.50","182.40","194.25","180.95","0.05K","0.94%"
"May 04, 2014","180.80","197.40","203.10","183.65","0.12K","-9.87%"
"Apr 27, 2014","200.60","203.35","208.90","192.40","0.16K","-2.03%"
"Apr 20, 2014","204.75","202.00","215.70","196.15","4.52K","1.76%"
"Apr 13, 2014","201.20","199.80","207.40","185.60","50.99K","0.00%"
"Apr 06, 2014","201.20","185.80","208.65","185.55","126.62K","8.76%"
"Mar 30, 2014","185.00","180.60","185.40","167.90","80.84K","2.44%"
"Mar 23, 2014","180.60","171.15","181.05","166.00","70.79K","5.52%"
"Mar 16, 2014","171.15","195.35","195.50","168.50","40.52K","-13.50%"
"Mar 09, 2014","197.85","201.50","207.55","200.50","0.27K","0.92%"
"Mar 02, 2014","196.05","180.55","200.90","177.10","0.18K","9.04%"
"Feb 23, 2014","179.80","169.45","180.35","169.45","0.97K","6.67%"
"Feb 16, 2014","168.55","140.05","175.70","138.75","30.18K","20.48%"
"Feb 09, 2014","139.90","133.95","142.75","132.90","143.74K","3.10%"
"Feb 02, 2014","135.70","125.00","144.15","125.00","192.41K","8.39%"
"Jan 26, 2014","125.20","114.20","125.95","113.15","103.96K","9.44%"
"Jan 19, 2014","114.40","117.15","118.55","113.65","53.42K","-2.35%"
"Jan 12, 2014","117.15","120.35","121.05","115.95","60.82K","-2.90%"
"Jan 05, 2014","120.65","116.50","122.60","115.70","99.47K","3.70%"
"Dec 29, 2013","116.35","116.35","117.45","110.20","43.86K","0.00%"
"Dec 22, 2013","116.35","115.00","118.40","114.05","19.70K","0.91%"
"Dec 15, 2013","115.30","115.35","116.70","113.10","17.40K","0.70%"
"Dec 08, 2013","114.50","106.30","114.00","106.05","0.08K","8.22%"
"Dec 01, 2013","105.80","109.80","110.50","105.50","0.11K","-4.04%"
"Nov 24, 2013","110.25","107.70","109.80","106.05","0.24K","2.94%"
"Nov 17, 2013","107.10","105.85","111.85","104.30","29.46K","1.28%"
"Nov 10, 2013","105.75","104.10","106.95","102.15","123.95K","1.63%"
"Nov 03, 2013","104.05","105.60","106.20","100.95","100.66K","-1.42%"
"Oct 27, 2013","105.55","109.00","109.20","104.25","69.57K","-3.25%"
"Oct 20, 2013","109.10","114.40","114.70","108.80","66.84K","-4.84%"
"Oct 13, 2013","114.65","116.70","117.65","114.05","45.93K","-1.76%"
"Oct 06, 2013","116.70","114.40","117.95","113.50","54.22K","2.01%"
"Sep 29, 2013","114.40","113.65","116.20","113.20","45.45K","0.62%"
"Sep 22, 2013","113.70","114.65","119.20","113.50","56.76K","-0.83%"
"Sep 15, 2013","114.65","114.75","116.70","111.10","18.64K","-0.78%"
"Sep 08, 2013","115.55","114.00","116.10","114.00","0.05K","1.40%"
